method,number_of_items,value,time_seconds
greedy,100,2539,1.383000002533663e-05
greedy,200,3494,2.5840000052994582e-05
greedy,300,4255,4.0421999983664136e-05
greedy,400,5242,5.3185999749985055e-05
greedy,500,4689,6.677600027614972e-05
greedy,600,5585,8.055400008743164e-05
greedy,700,7747,5.4786000109743324e-05
greedy,800,7456,0.00010586999993392964
greedy,900,7066,0.000121223999922222
greedy,1000,8729,7.218200014904142e-05
greedy,1100,7852,7.504800014430657e-05
greedy,1200,8647,8.335399990755832e-05
greedy,1300,8964,9.039000000484521e-05
greedy,1400,9160,9.514400015177671e-05
greedy,1500,10164,0.0001106360000630957
greedy,1600,10058,0.00013117600017721997
greedy,1700,10580,0.00012031199996272335
greedy,1800,10104,0.0001235879999876488
greedy,1900,10859,0.00018933200004539686
greedy,2000,10851,0.00013725800017709843
dynamic,100,2545,0.009969685999858485
dynamic,200,3494,0.016828569999961473
dynamic,300,4256,0.025435097999870777
dynamic,400,5247,0.03533224799975869
dynamic,500,4694,0.04470451599983789
dynamic,600,5595,0.052793927999991865
dynamic,700,7750,0.06292388399990159
dynamic,800,7472,0.07228908399996727
dynamic,900,7070,0.0814221739999266
dynamic,1000,8731,0.0918347919998996
dynamic,1100,7852,0.10090295200010586
dynamic,1200,8649,0.11164676600015809
dynamic,1300,8964,0.1251019100000849
dynamic,1400,9160,0.1302670740000758
dynamic,1500,10164,0.1386929300000338
dynamic,1600,10065,0.14811345400004938
dynamic,1700,10580,0.15775733799982844
dynamic,1800,10104,0.16670635999995284
dynamic,1900,10863,0.17555908000009368
dynamic,2000,10851,0.18411995599995862
